"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Colin logs in with valid credentials","SUCCESS","2021-12-22T04:01:47.522526898Z[Etc/UTC]","0.0","29.9"
"Login","Login on with invalid credentials","SUCCESS","2021-12-22T04:02:17.945108046Z[Etc/UTC]","0.0","25.66"
"Managing the cart","Colin adds items to the cart","SUCCESS","2021-12-22T04:01:48.492067685Z[Etc/UTC]","0.0","55.43"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-12-22T04:02:43.993421964Z[Etc/UTC]","0.0","7.7"
"Managing the cart","Colin adds several items to the cart","SUCCESS","2021-12-22T04:02:52.229485049Z[Etc/UTC]","0.0","5.64"
"Managing the cart","Colin removes an item from the cart on the product catalog page 2","SUCCESS","2021-12-22T04:02:57.914568304Z[Etc/UTC]","0.0","4.82"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2021-12-22T04:03:02.769090833Z[Etc/UTC]","0.0","3.98"
"Managing the cart","Colin views the details of a product and adds it to his cart 2","SUCCESS","2021-12-22T04:03:06.762794858Z[Etc/UTC]","0.0","2.61"
"Managing the cart","Colin sees every item he has added in the cart","SUCCESS","2021-12-22T04:03:09.384267767Z[Etc/UTC]","0.0","2.12"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2021-12-22T04:01:47.746401096Z[Etc/UTC]","0.0","32.65"
"Browse the catalog","Colin reviews more of our range of products by hand","SUCCESS","2021-12-22T04:02:21.374980515Z[Etc/UTC]","0.0","0.22"
"Browse the catalog","Colin views information about each product","SUCCESS","2021-12-22T04:02:21.945467655Z[Etc/UTC]","0.0","30.98"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2021-12-22T04:02:52.973901811Z[Etc/UTC]","0.0","15.53"
"Browse the catalog","Sort products","SUCCESS","2021-12-22T04:03:08.513947175Z[Etc/UTC]","0.0","8.51"
"Completing a purchase","Colin enters incomplete name and address info","SUCCESS","2021-12-22T04:01:48.09170878Z[Etc/UTC]","0.0","65.76"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-12-22T04:02:53.879143541Z[Etc/UTC]","0.0","4.7"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2021-12-22T04:02:58.629543461Z[Etc/UTC]","0.0","4.09"
"Calculating sales tax","Colin sees the correctly calculated sales tax for his order","SUCCESS","2021-12-22T04:01:47.913531866Z[Etc/UTC]","0.0","40.2"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2021-12-22T04:02:28.133873481Z[Etc/UTC]","0.0","4.7"
