"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Colin logs in with valid credentials","SUCCESS","2021-12-22T04:13:49.079406577Z[Etc/UTC]","0.0","34.41"
"Login","Login on with invalid credentials","SUCCESS","2021-12-22T04:14:23.973455361Z[Etc/UTC]","0.0","26.02"
"Managing the cart","Colin adds items to the cart","SUCCESS","2021-12-22T04:13:49.645264461Z[Etc/UTC]","0.0","63.31"
"Managing the cart","Colin adds an item to the cart","SUCCESS","2021-12-22T04:14:53.051297789Z[Etc/UTC]","0.0","6.84"
"Managing the cart","Colin adds ignored items to the cart","IGNORED","2021-12-22T04:14:59.928794367Z[Etc/UTC]","0.0","0.07"
"Managing the cart","Colin adds pending items to the cart","PENDING","2021-12-22T04:15:00.022792654Z[Etc/UTC]","0.0","0.07"
"Managing the cart","Colin adds skipped items to the cart","SKIPPED","2021-12-22T04:15:00.116720839Z[Etc/UTC]","0.0","0.09"
"Managing the cart","Colin adds several items to the cart","SUCCESS","2021-12-22T04:15:00.221254914Z[Etc/UTC]","0.0","6.03"
"Managing the cart","Colin removes an item from the cart on the product catalog page 2","SUCCESS","2021-12-22T04:15:06.296340205Z[Etc/UTC]","0.0","5.78"
"Managing the cart","Colin removes an item from the cart overview","SUCCESS","2021-12-22T04:15:12.079312485Z[Etc/UTC]","0.0","2.54"
"Managing the cart","Colin views the details of a product and adds it to his cart 2","SUCCESS","2021-12-22T04:15:14.630734625Z[Etc/UTC]","0.0","2.36"
"Managing the cart","Colin sees every item he has added in the cart","SUCCESS","2021-12-22T04:15:17.005295042Z[Etc/UTC]","0.0","2.51"
"Browse the catalog","Colin reviews our range of products","SUCCESS","2021-12-22T04:13:49.408331304Z[Etc/UTC]","0.0","38.98"
"Browse the catalog","Colin reviews our range of products by hand","PENDING","2021-12-22T04:14:29.096228448Z[Etc/UTC]","0.0","0.37"
"Browse the catalog","Colin reviews more of our range of products by hand","SUCCESS","2021-12-22T04:14:29.543345697Z[Etc/UTC]","0.0","0.2"
"Browse the catalog","Colin reviews more of our range of products by hand and finds a problem","FAILURE","2021-12-22T04:14:29.803369737Z[Etc/UTC]","0.0","0.16"
"Browse the catalog","Colin views information about each product","SUCCESS","2021-12-22T04:14:30.011356328Z[Etc/UTC]","0.0","29.27"
"Browse the catalog","Colin views the details for specific products","SUCCESS","2021-12-22T04:14:59.320070247Z[Etc/UTC]","0.0","16.07"
"Browse the catalog","Sort products","SUCCESS","2021-12-22T04:15:15.404853439Z[Etc/UTC]","0.0","7.55"
"Completing a purchase","Colin enters incomplete name and address info","SUCCESS","2021-12-22T04:13:49.732285335Z[Etc/UTC]","0.0","71.62"
"Completing a purchase","Colin purchases two items and sees them both appear in the purchase summary","SUCCESS","2021-12-22T04:15:01.377578161Z[Etc/UTC]","0.0","4.93"
"Completing a purchase","Colin confirms his order and is told that the items have been dispatched","SUCCESS","2021-12-22T04:15:06.32468201Z[Etc/UTC]","0.0","3.73"
"Calculating sales tax","Colin sees the correctly calculated sales tax for his order","SUCCESS","2021-12-22T04:13:49.653215314Z[Etc/UTC]","0.0","44.01"
"Calculating sales tax","Colin purchases two items so the total tax calculated includes tax for both items","SUCCESS","2021-12-22T04:14:33.71209488Z[Etc/UTC]","0.0","5.68"
